"product_id","theme_id","product_name","category","sub_category","platform","review_id","rating","sentiment","tag","content","created_at","source"
"3c-phone-iphone17pro-taobao-2","3c-phone-iphone17pro","Apple iPhone 17 Pro 256GB 星雾蓝 天猫 618 活动款","3C 数码","手机","天猫 · Apple 品牌天猫官方旗舰店","3c-phone-iphone17pro-taobao-2-1","5","positive","体验","实物和页面描述基本一致，整体满意。","近 29 天","基于商品字段生成的拟真模拟评论"
"3c-phone-iphone17pro-taobao-2","3c-phone-iphone17pro","Apple iPhone 17 Pro 256GB 星雾蓝 天猫 618 活动款","3C 数码","手机","天猫 · Apple 品牌天猫官方旗舰店","3c-phone-iphone17pro-taobao-2-2","5","positive","价格","活动价入手比较划算，性价比可以。","近 24 天","基于商品字段生成的拟真模拟评论"
"3c-phone-iphone17pro-taobao-2","3c-phone-iphone17pro","Apple iPhone 17 Pro 256GB 星雾蓝 天猫 618 活动款","3C 数码","手机","天猫 · Apple 品牌天猫官方旗舰店","3c-phone-iphone17pro-taobao-2-3","5","positive","性能流畅","日常切换应用很顺，拍照和视频处理速度也快。","近 5 天","基于商品字段生成的拟真模拟评论"
"3c-phone-iphone17pro-taobao-2","3c-phone-iphone17pro","Apple iPhone 17 Pro 256GB 星雾蓝 天猫 618 活动款","3C 数码","手机","天猫 · Apple 品牌天猫官方旗舰店","3c-phone-iphone17pro-taobao-2-4","4","positive","影像表现","主摄白天成像稳定，长焦拍远处细节也够用。","近 44 天","基于商品字段生成的拟真模拟评论"
"3c-phone-iphone17pro-taobao-2","3c-phone-iphone17pro","Apple iPhone 17 Pro 256GB 星雾蓝 天猫 618 活动款","3C 数码","手机","天猫 · Apple 品牌天猫官方旗舰店","3c-phone-iphone17pro-taobao-2-5","5","positive","履约服务","天猫发货信息清楚，预计 2 天送达。","近 12 天","基于商品字段生成的拟真模拟评论"
"3c-phone-iphone17pro-taobao-2","3c-phone-iphone17pro","Apple iPhone 17 Pro 256GB 星雾蓝 天猫 618 活动款","3C 数码","手机","天猫 · Apple 品牌天猫官方旗舰店","3c-phone-iphone17pro-taobao-2-6","5","positive","体验","发货速度快，包装也比较完整。","近 59 天","基于商品字段生成的拟真模拟评论"
"3c-phone-iphone17pro-taobao-2","3c-phone-iphone17pro","Apple iPhone 17 Pro 256GB 星雾蓝 天猫 618 活动款","3C 数码","手机","天猫 · Apple 品牌天猫官方旗舰店","3c-phone-iphone17pro-taobao-2-7","4","positive","价格","券后价格比线下便宜一些。","近 82 天","基于商品字段生成的拟真模拟评论"
"3c-phone-iphone17pro-taobao-2","3c-phone-iphone17pro","Apple iPhone 17 Pro 256GB 星雾蓝 天猫 618 活动款","3C 数码","手机","天猫 · Apple 品牌天猫官方旗舰店","3c-phone-iphone17pro-taobao-2-8","4","positive","性能流畅","高刷屏配合系统动画很流畅，重度使用也少见卡顿。","近 5 天","基于商品字段生成的拟真模拟评论"
"3c-phone-iphone17pro-taobao-2","3c-phone-iphone17pro","Apple iPhone 17 Pro 256GB 星雾蓝 天猫 618 活动款","3C 数码","手机","天猫 · Apple 品牌天猫官方旗舰店","3c-phone-iphone17pro-taobao-2-9","2","negative","细节","部分细节和预期有差距，下单前要看清规格。","近 83 天","基于商品字段生成的拟真模拟评论"
"3c-phone-iphone17pro-taobao-2","3c-phone-iphone17pro","Apple iPhone 17 Pro 256GB 星雾蓝 天猫 618 活动款","3C 数码","手机","天猫 · Apple 品牌天猫官方旗舰店","3c-phone-iphone17pro-taobao-2-10","5","positive","影像表现","视频防抖和收音表现不错，日常记录比较省心。","近 88 天","基于商品字段生成的拟真模拟评论"
"3c-phone-iphone17pro-taobao-2","3c-phone-iphone17pro","Apple iPhone 17 Pro 256GB 星雾蓝 天猫 618 活动款","3C 数码","手机","天猫 · Apple 品牌天猫官方旗舰店","3c-phone-iphone17pro-taobao-2-11","4","positive","履约服务","7 天无理由，退货运费险，下单前能比较明确地判断售后成本。","近 41 天","基于商品字段生成的拟真模拟评论"
"3c-phone-iphone17pro-taobao-2","3c-phone-iphone17pro","Apple iPhone 17 Pro 256GB 星雾蓝 天猫 618 活动款","3C 数码","手机","天猫 · Apple 品牌天猫官方旗舰店","3c-phone-iphone17pro-taobao-2-12","3","negative","售后","退换流程需要按平台规则走，不算特别快。","近 10 天","基于商品字段生成的拟真模拟评论"
"3c-phone-iphone17pro-taobao-2","3c-phone-iphone17pro","Apple iPhone 17 Pro 256GB 星雾蓝 天猫 618 活动款","3C 数码","手机","天猫 · Apple 品牌天猫官方旗舰店","3c-phone-iphone17pro-taobao-2-13","4","positive","体验","实物和页面描述基本一致，整体满意。","近 70 天","基于商品字段生成的拟真模拟评论"
"3c-phone-iphone17pro-taobao-2","3c-phone-iphone17pro","Apple iPhone 17 Pro 256GB 星雾蓝 天猫 618 活动款","3C 数码","手机","天猫 · Apple 品牌天猫官方旗舰店","3c-phone-iphone17pro-taobao-2-14","4","positive","价格","活动价入手比较划算，性价比可以。","近 59 天","基于商品字段生成的拟真模拟评论"
"3c-phone-iphone17pro-taobao-2","3c-phone-iphone17pro","Apple iPhone 17 Pro 256GB 星雾蓝 天猫 618 活动款","3C 数码","手机","天猫 · Apple 品牌天猫官方旗舰店","3c-phone-iphone17pro-taobao-2-15","5","positive","性能流畅","日常切换应用很顺，拍照和视频处理速度也快。","近 46 天","基于商品字段生成的拟真模拟评论"
